Name,Start-Date,End-Date
Mario Cerroni: Double Vision,18/11/2018,10/02/2019
Glad Tidings,03/12/2017,03/12/2017
Vintage Car Show,17/06/2018,17/06/2018
Princess and Superhero Dance Party ,11/02/2018,11/02/2018
Fifty-Five Plus Lifestyle Show,15/09/2017,16/09/2017
Tour with the artist (in French): José Luis Torres – De l'horizontal au vertical (From Horizontal to Vertical),28/05/2017,28/05/2017
Bazaar and Art Show,27/10/2018,27/10/2018
Heritage Power,28/05/2017,28/05/2017
Sibelius’s First Symphony,03/10/2017,03/10/2017
Outrage: The McGonigle Murders,22/09/2017,30/09/2017
Megan Jerome,02/03/2018,02/03/2018
Ottawa’s Small Business eSAX Networking Tradeshow,18/10/2017,18/10/2017
Eight Decades of Fashion,02/03/2019,02/03/2019
Fall into Vintage at Makerspace north,15/09/2018,15/09/2018
Cabane à sucre,01/02/2018,29/04/2018
Haunted House on the Hill,12/10/2018,27/10/2018
Sanjay Sundram: Silent Cities,23/08/2018,18/09/2018
Mozart à la Haydn,10/05/2018,11/05/2018
Cycle for Sight,19/08/2018,19/08/2018
Sons of Pluto at Backdrop with special guest Crystalena,26/08/2017,26/08/2017
Mud Hero,04/06/2017,04/06/2017
Kira Isabella,17/05/2018,17/05/2018
Archaeology Month: Behind-the-scenes Facility Tours,01/08/2018,29/08/2018
Justin Duhaime Gypsy Jazz Duo with Andrew Tesolin,20/10/2017,24/11/2017
 Flower Nite,20/06/2017,20/06/2017
Indigenous Writers’ Gathering,05/06/2018,05/06/2018
Lest We Forget,11/11/2017,11/11/2017
Amos the Transparent,05/04/2019,05/04/2019
Kitchi Blanket Exercise,02/06/2017,02/06/2017
TC3 Breakthrough Concert,06/08/2017,06/08/2017
Mikhail Laxton Band,23/06/2018,23/06/2018
Psychology for Digital Behaviour Change,14/05/2018,14/05/2018
Canada Day at the Canadian Museum of Nature,01/07/2017,01/07/2017
Rights & responsibility: public forum on environmental rights in Canada,31/05/2017,31/05/2017
Ottawa Parent & Child Expo,21/04/2018,22/04/2018
Ottawa Wine and Food Festival ,03/11/2017,05/11/2017
Red Bull Global Rallycross Ottawa,17/06/2017,18/06/2017
Horaceville Harvest,01/09/2018,22/09/2018
FOPLA Monthly Mammoth Book sale,20/10/2018,20/10/2018
Touch a Truck,10/06/2018,10/06/2018
Beethoven on Record,02/12/2017,02/12/2017
Air Guitar Ottawa 2018 Championships,12/05/2018,12/05/2018
Ottawa LIVERight Gala,22/11/2018,22/11/2018
Megan Jerome and the Together Ensemble,20/05/2017,20/05/2017
RICHard SMOLinski - Scrutinearsighted,07/09/2017,07/09/2017
The Great India Festival 2018,10/08/2018,12/08/2018
"Film screening - ""Le sens de la fête"" (2017)",15/02/2018,15/02/2018
Gatineau Riverfest,28/07/2018,28/07/2018
Animals Rock 2017!,22/09/2017,22/09/2017
30th Annual Nepean Ringette Tournament,16/11/2017,19/11/2017
Classic Albums Live: Rush - 2112,02/12/2017,02/12/2017
Music for a Sunday Afternoon,26/11/2017,26/11/2017
Simple Plan ,20/09/2017,20/09/2017
PD Day: Baseball in Nepean,08/06/2018,08/06/2018
Dueling Pianos,16/11/2018,16/11/2018
Singers Master Class,06/05/2017,06/05/2017
Knox Harvest Bazaar,28/10/2017,28/10/2017
Live Music with Jimmy Young and the Restless,26/08/2017,26/08/2017
Carp Farmers' Market,15/04/2017,02/12/2017
Makers at the Museum: A Plein Air Watercolour Workshop,09/06/2018,09/06/2018
Throwing Graceful Forms with Paula Murray,08/09/2018,08/09/2018
Wakefield Christmas Market,08/12/2018,08/12/2018
Culture Days,30/09/2017,01/10/2017
Sultans of String - Christmas Caravan,30/11/2017,30/11/2017
Rob Frayne's Dreamband 3,18/04/2018,18/04/2018
Tucker House Renewal Centre's 9th Annual Green Gala,04/11/2017,04/11/2017
Zukerman and Mozart,23/11/2017,24/11/2017
Vernissage: Thunderstruck,20/06/2018,20/06/2018
Canada Day at the Aviation and Space Museum,01/07/2018,01/07/2018
Eighth Annual New Year's Eve Comedy Night,31/12/2018,31/12/2018
EmbraceYou: Movie Screening + Panel Discussion,04/06/2017,04/06/2017
Playing It Forward for Wishes,22/07/2018,22/07/2018
Telfer 10 - Trivia Night,25/05/2017,25/05/2017
